overlap_score,nli_entailment_score,nli_contradiction_score,nli_neutral_score,sentence_level_max_contradiction,entity_overlap_ratio,new_entities_count,response_length,context_length,length_ratio,model_tier,temperature,label,id
0.31403738260269165,0.02077733725309372,0.8482600450515747,0.13096261024475098,0.8482600450515747,0.5454540495872277,5,119,185,0.64324320847334,3,0.699999988079071,0,6528
0.7834307551383972,0.01276401150971651,0.016012229025363922,0.9712237119674683,0.051292043179273605,0.7142846938790088,2,136,615,0.2211382077863706,1,1.0,1,3722
0.2348906397819519,0.2887760400772095,0.007336251903325319,0.7038877010345459,0.027614591643214226,0.7142846938790088,2,99,374,0.264705875275244,1,1.0,1,7197
0.8347269892692566,0.015521126799285412,0.023236794397234917,0.9612420797348022,0.05697352811694145,0.9999987500015626,0,115,516,0.22286821273511218,1,0.7749999761581421,1,3375
0.8539198040962219,0.9187967777252197,0.019360003992915154,0.06184321641921997,0.29682302474975586,0.5833328472226273,5,121,154,0.7857142346938808,1,0.7749999761581421,1,17324
0.8041436076164246,0.0415547713637352,0.127695694565773,0.83074951171875,0.16928143799304962,0.882352422145634,2,91,434,0.2096774145235619,1,1.0,0,4828
0.7836437225341797,0.4386354386806488,0.07384371757507324,0.48752087354660034,0.11392705142498016,0.9090900826453795,1,93,262,0.3549618185129077,1,0.699999988079071,1,1197
0.8583956956863403,0.14159150421619415,0.40260136127471924,0.4558071494102478,0.47372570633888245,0.5555549382722909,4,117,389,0.3007712004943136,1,0.699999988079071,0,14266
0.7460020780563354,0.4271638095378876,0.017467927187681198,0.5553682446479797,0.12769047915935516,0.46153810650914884,7,134,210,0.638095207709752,2,0.8500000238418579,1,13817
0.8968843221664429,0.019266894087195396,0.008652659133076668,0.9720805287361145,0.008568301796913147,0.8666660888892741,2,88,304,0.289473674688366,2,0.699999988079071,0,5587
0.6739318370819092,0.9414674043655396,0.017172500491142273,0.04136012867093086,0.017172500491142273,0.9999950000249999,0,14,154,0.09090908500590357,2,0.699999988079071,0,17323
0.6130430698394775,0.03995124623179436,0.07549962401390076,0.884549081325531,0.303738534450531,0.9999990000010001,0,109,1079,0.10101946152901334,1,0.699999988079071,1,513
0.8043462038040161,0.507685661315918,0.053234320133924484,0.43907999992370605,0.12099646776914597,0.0,2,115,352,0.3267045361731666,1,0.925000011920929,0,17480
0.43860870599746704,0.036605894565582275,0.7475824952125549,0.2158116102218628,0.7475824952125549,0.35714260204099857,9,158,398,0.39698491464862024,1,0.699999988079071,1,8288
0.6780087351799011,0.3170700967311859,0.37899693846702576,0.30393293499946594,0.41634225845336914,0.9999987500015626,0,139,700,0.1985714257346939,2,0.699999988079071,1,197
0.6931536793708801,0.03790932893753052,0.09468583017587662,0.8674048185348511,0.7603393197059631,0.49999750001249993,1,40,231,0.1731601656640621,1,0.7749999761581421,1,13118
0.8118711113929749,0.3655235171318054,0.02092551812529564,0.6135510206222534,0.1153998002409935,0.7499990625011719,2,83,428,0.19392522911389654,1,1.0,0,988
0.2576683759689331,0.38448137044906616,0.04402754828333855,0.571491003036499,0.023089643567800522,0.4999991666680556,3,219,635,0.3448818843325688,1,0.699999988079071,1,9849
0.32836323976516724,0.33943527936935425,0.19247186183929443,0.4680928587913513,0.5219364166259766,0.3999996000004,6,141,367,0.3841961748175429,1,0.7749999761581421,1,10107
0.9093502163887024,0.010824968107044697,0.4662531912326813,0.5229218006134033,0.5957452058792114,0.9285707653065962,1,104,623,0.16693418672657806,3,0.699999988079071,0,3288
